school,rl2016,rl2017,hw2016,hw2017
HSLA-BX,n/a,84.20%,n/a,98.00%
DPMS,n/a,86.90%,n/a,92.40%
MWMS,n/a,88.10%,n/a,92.30%
MYMS,n/a,88.70%,n/a,94.10%
BX3MS,n/a,90.00%,n/a,96.20%
H6,n/a,100.00%,n/a,n/a
HY,n/a,n/a,n/a,n/a
HYMS,n/a,n/a,n/a,n/a
BS3,89.00%,98.90%,n/a,96.80%
SJ,100.00%,99.20%,n/a,98.10%
FR,99.00%,94.70%,n/a,89.80%
FB,75.00%,91.70%,71.00%,94.80%
HSLA-MA,n/a,66.30%,78.00%,93.40%
CH,88.00%,97.10%,87.00%,98.40%
BX3U,95.00%,99.00%,88.00%,99.00%
H5,91.00%,91.80%,82.00%,92.50%
BS2,97.00%,98.00%,89.00%,98.90%
BX1,85.00%,96.50%,88.00%,97.40%
H4,87.00%,94.60%,88.00%,95.30%
HNC,86.00%,93.00%,91.00%,97.30%
UW,96.00%,96.20%,91.00%,97.00%
HW,85.00%,93.20%,90.00%,95.50%
HC,86.00%,91.50%,89.00%,93.10%
BB,94.00%,95.30%,93.00%,96.80%
BX2,87.00%,95.10%,93.00%,96.50%
US,96.00%,93.60%,92.00%,94.20%
BX4,93.00%,95.20%,95.00%,96.60%
BX1MS,95.00%,93.60%,96.00%,97.40%
FG,93.00%,98.40%,96.00%,97.20%
WB,78.00%,94.10%,96.00%,97.10%
BS1,98.00%,98.10%,98.00%,98.80%
BH,97.00%,95.40%,96.00%,96.70%
H2,98.00%,97.80%,98.00%,97.50%
SG,99.00%,95.60%,99.00%,97.80%
HNW,86.00%,88.80%,91.00%,89.00%
WH,93.00%,96.80%,99.00%,96.70%
PH,96.00%,95.80%,99.00%,96.70%
BW,82.00%,95.30%,100.00%,96.60%
BX2MS,93.00%,97.40%,99.00%,95.60%
RO,90.00%,94.20%,98.00%,94.40%
BX3L,99.00%,93.40%,99.00%,95.40%
BSMS,94.00%,87.70%,98.00%,93.80%
H3,94.50%,91.20%,99.00%,92.60%
H1,93.00%,84.30%,93.00%,85.70%
HE,90.00%,80.60%,95.00%,86.00%
CR,95.00%,94.80%,98.00%,87.30%
HK,94.00%,85.10%,99.00%,79.70%
